gene_name,surface_evidence
A1BG,0
A1BG-AS1,0
A1CF,0.071
A2M,0.071
A2M-AS1,0
A2ML1,0
A2ML1-AS1,0
A2ML1-AS2,0
A3GALT2,0.571
A4GALT,0.857
A4GNT,0.143
AAAS,0.143
AACS,0.071
AADAC,0.571
AADACL2,0.071
AADACL2-AS1,0
AADACL3,0.643
AADACL4,0.786
AADAT,0.214
AAGAB,0
AAK1,0.143
AAMDC,0
AAMP,0.071
AANAT,0
AAR2,0
AARD,0
AARS,0.071
AARS2,0
AARSD1,0.071
AASDH,0.071
AASDHPPT,0
AASS,0
AATBC,0
AATF,0
AATK,0.571
ABALON,0
ABAT,0
ABCA1,0.786
ABCA10,0.786
ABCA12,0.786
ABCA13,0.643
ABCA2,0.786
ABCA3,0.857
ABCA4,0.714
ABCA5,0.857
ABCA6,0.857
ABCA7,0.857
ABCA8,0.929
ABCA9,0.857
ABCA9-AS1,0
ABCB1,1
ABCB10,0.643
ABCB11,0.714
ABCB4,0.857
ABCB5,0.714
ABCB6,0.857
ABCB7,0.786
ABCB8,0.643
ABCB9,0.714
ABCC1,1
ABCC10,0.714
ABCC11,0.714
ABCC12,0.714
ABCC2,0.857
ABCC3,0.786
ABCC4,0.857
ABCC5,0.786
ABCC5-AS1,0
ABCC6,0.786
ABCC8,0.786
ABCC9,0.786
ABCD1,0.786
ABCD2,0.786
ABCD3,0.643
ABCD4,0.643
ABCE1,0.143
ABCF1,0
ABCF2,0
ABCF3,0
ABCG1,0.786
ABCG2,0.929
ABCG4,0.714
ABCG5,0.714
ABCG8,0.643
ABHD1,0.571
ABHD10,0
ABHD11,0
ABHD12,0.643
ABHD12B,0.071
ABHD13,0.643
ABHD14A,0.786
ABHD14B,0
ABHD15,0.571
ABHD15-AS1,0
ABHD16A,0.571
ABHD16B,0
ABHD17A,0.071
ABHD17B,0.071
ABHD17C,0.214
ABHD18,0.071
ABHD2,0.786
ABHD3,0.857
ABHD4,0.071
ABHD5,0.214
ABHD6,0.286
ABHD8,0
ABI1,0.214
ABI2,0
ABI3,0.071
ABI3BP,0.071
ABITRAM,0.071
ABL1,0
ABL2,0
ABLIM1,0
ABLIM2,0
ABLIM3,0.143
ABO,0.643
ABR,0
ABRA,0.143
ABRACL,0
ABRAXAS1,0
ABRAXAS2,0
ABT1,0.071
ABTB1,0.143
ABTB2,0
AC000032.1,0
AC000035.1,0
AC000036.1,0
AC000050.1,0
AC000058.1,0
AC000061.1,0
AC000065.1,0
AC000065.2,0
AC000067.1,0
AC000068.1,0
AC000068.2,0
AC000068.3,0
AC000072.1,0
AC000082.1,0
AC000085.1,0
AC000099.1,0
AC000113.1,0
AC000120.1,0
AC000123.1,0
AC000124.1,0
AC000372.1,0
AC000403.1,0
AC001226.1,0
AC002044.1,0
AC002056.2,0
AC002057.1,0
AC002057.2,0
AC002059.1,0
AC002064.1,0
AC002064.2,0
AC002066.1,0
AC002069.2,0
AC002070.1,0
AC002072.1,0
AC002074.1,0
AC002074.2,0
AC002076.1,0
AC002091.1,0
AC002091.2,0
AC002094.2,0
AC002094.4,0
AC002101.1,0
AC002115.1,0
AC002116.2,0
AC002128.1,0
AC002128.2,0
AC002306.1,0
AC002310.1,0
AC002310.2,0
AC002331.1,0
AC002347.1,0
AC002347.2,0
AC002351.1,0
AC002368.1,0
AC002375.1,0
AC002377.1,0
AC002378.1,0
AC002383.1,0
AC002386.1,0
AC002398.1,0
AC002398.2,0
AC002401.1,0
AC002401.2,0
AC002401.3,0
AC002401.4,0
AC002407.1,0
AC002428.1,0
AC002428.2,0
AC002429.2,0
AC002451.1,0
AC002454.1,0
AC002456.1,0
AC002458.1,0
AC002460.1,0
AC002460.2,0
AC002463.1,0
AC002464.1,0
AC002465.1,0
AC002465.2,0
AC002467.1,0
AC002470.1,0
AC002472.1,0
AC002480.1,0
AC002480.2,0
AC002511.1,0
AC002511.2,0
AC002519.1,0
AC002529.1,0
AC002542.6,0
AC002546.1,0
AC002550.1,0
AC002550.2,0
AC002551.1,0
AC002553.1,0
AC002553.2,0
AC002558.2,0
AC002558.3,0
AC002563.1,0
AC003001.1,0
AC003005.2,0
AC003009.1,0
AC003035.1,0
AC003035.2,0
AC003043.1,0
AC003043.2,0
AC003044.1,0
AC003070.1,0
AC003070.2,0
AC003077.1,0
AC003084.1,0
AC003086.1,0
AC003087.1,0
AC003092.1,0
AC003092.2,0
AC003093.1,0
AC003098.1,0
AC003101.1,0
AC003101.2,0
AC003102.1,0
AC003659.1,0
AC003666.1,0
AC003681.1,0
AC003682.1,0
AC003684.1,0
AC003685.1,0
AC003687.1,0
AC003688.2,0
AC003950.1,0
AC003956.1,0
AC003958.2,0
AC003965.1,0
AC003965.2,0
AC003973.1,0
AC003975.1,0
AC003982.1,0
AC003984.1,0
AC003985.1,0
AC003986.1,0
AC003986.2,0
AC003986.3,0
AC003988.1,0
AC003991.1,0
AC003991.2,0
AC003992.1,0
AC004000.1,0
AC004009.1,0
AC004012.1,0
AC004014.1,0
AC004023.1,0
AC004034.1,0
AC004039.1,0
AC004047.1,0
AC004052.1,0
AC004053.1,0
AC004054.1,0
AC004063.1,0
AC004066.2,0
AC004067.1,0
AC004069.1,0
AC004076.2,0
AC004080.1,0
AC004080.17,0
AC004080.2,0
AC004080.4,0
AC004083.1,0
AC004112.1,0
AC004129.3,0
AC004130.2,0
AC004147.1,0
AC004147.2,0
AC004147.3,0
AC004147.5,0
AC004148.1,0
AC004156.1,0
AC004158.1,0
AC004160.1,0
AC004160.2,0
AC004217.1,0
AC004221.1,0
AC004223.2,0
AC004223.4,0
AC004231.1,0
AC004231.3,0
AC004232.1,0
AC004233.1,0
AC004233.2,0
AC004233.3,0
AC004241.1,0
AC004241.2,0
AC004241.3,0
AC004241.4,0
AC004253.1,0
AC004253.2,0
AC004257.1,0
AC004263.1,0
AC004263.2,0
AC004264.1,0
AC004381.1,0
AC004408.1,0
AC004415.1,0
AC004448.1,0
AC004448.2,0
AC004448.3,0
AC004448.5,0
AC004449.1,0
AC004461.2,0
AC004464.1,0
AC004466.1,0
AC004466.2,0
AC004466.3,0
AC004470.1,0
AC004471.1,0
AC004471.2,0
AC004477.1,0
AC004477.2,0
AC004477.3,0
AC004485.1,0
AC004490.1,0
AC004492.1,0
AC004494.1,0
AC004522.3,0
AC004522.4,0
AC004522.5,0
AC004528.1,0
AC004528.2,0
AC004540.1,0
AC004540.2,0
AC004542.1,0
AC004542.2,0
AC004543.1,0
AC004549.1,0
AC004551.1,0
AC004554.2,0
AC004556.3,0
AC004584.1,0
AC004584.3,0
AC004585.1,0
AC004590.1,0
AC004593.1,0
AC004593.2,0
AC004593.3,0
AC004594.1,0
AC004596.1,0
AC004597.1,0
AC004637.1,0
AC004672.1,0
AC004672.2,0
AC004674.1,0
AC004687.1,0
AC004687.3,0
AC004690.2,0
AC004691.1,0
AC004692.2,0
AC004702.1,0
AC004704.1,0
AC004706.1,0
AC004706.3,0
AC004707.1,0
AC004765.1,0
AC004771.1,0
AC004771.2,0
AC004771.3,0
AC004771.4,0
AC004771.5,0
AC004775.1,0
AC004784.1,0
AC004797.1,0
AC004801.3,0
AC004801.4,0
AC004801.5,0
AC004801.6,0
AC004803.1,0
AC004812.2,0
AC004816.1,0
AC004816.2,0
AC004817.1,0
AC004817.2,0
AC004817.3,0
AC004817.4,0
AC004817.5,0
AC004825.2,0
AC004825.3,0
AC004828.1,0
AC004828.2,0
AC004830.2,0
AC004832.1,0
AC004832.4,0
AC004832.5,0
AC004832.6,0
AC004834.1,0
AC004835.1,0
AC004837.2,0
AC004837.3,0
AC004837.4,0
AC004839.2,0
AC004846.1,0
AC004846.2,0
AC004847.1,0
AC004852.2,0
AC004854.2,0
AC004862.1,0
AC004863.1,0
AC004865.2,0
AC004869.1,0
AC004869.2,0
AC004870.2,0
AC004870.3,0
AC004870.4,0
AC004875.1,0
AC004877.1,0
AC004879.1,0
AC004882.1,0
AC004882.2,0
AC004882.3,0
AC004884.2,0
AC004888.1,0
AC004889.1,0
AC004893.3,0
AC004895.1,0
AC004900.1,0
AC004906.1,0
AC004908.1,0
AC004908.2,0
AC004908.3,0
AC004917.1,0
AC004918.1,0
AC004918.4,0
AC004920.1,0
AC004921.1,0
AC004921.2,0
AC004923.4,0
AC004930.1,0
AC004936.1,0
AC004938.2,0
AC004941.1,0
AC004943.1,0
AC004943.2,0
AC004943.3,0
AC004944.1,0
AC004946.1,0
AC004946.2,0
AC004947.1,0
AC004947.3,0
AC004948.1,0
AC004949.1,0
AC004951.1,0
AC004969.1,0
AC004973.1,0
AC004974.1,0
AC004975.2,0
AC004982.1,0
AC004982.2,0
AC004988.1,0
AC004990.1,0
AC004994.1,0
AC005005.3,0
AC005005.4,0
AC005006.1,0
AC005008.2,0
AC005009.1,0
AC005009.2,0
AC005013.1,0
AC005014.2,0
AC005014.3,0
AC005014.4,0
AC005019.2,0
AC005021.1,0
AC005034.2,0
AC005034.3,0
AC005034.4,0
AC005034.5,0
AC005034.6,0
AC005037.1,0
AC005040.2,0
AC005041.3,0
AC005041.4,0
AC005041.5,0
AC005042.2,0
AC005046.1,0
AC005050.1,0
AC005050.2,0
AC005050.3,0
AC005052.2,0
AC005062.1,0
AC005064.1,0
AC005070.3,0
AC005071.1,0
AC005072.1,0
AC005076.1,0
AC005081.1,0
AC005082.1,0
AC005082.2,0
AC005083.1,0
AC005086.2,0
AC005089.1,0
AC005090.1,0
AC005091.1,0
AC005096.1,0
AC005100.1,0
AC005100.2,0
AC005104.1,0
AC005104.3,0
AC005144.1,0
AC005153.1,0
AC005154.3,0
AC005154.4,0
AC005160.1,0
AC005162.1,0
AC005162.2,0
AC005162.3,0
AC005165.1,0
AC005165.3,0
AC005180.1,0
AC005180.2,0
AC005197.1,0
AC005208.1,0
AC005209.1,0
AC005220.1,0
AC005224.1,0
AC005224.2,0
AC005224.3,0
AC005225.1,0
AC005225.2,0
AC005225.3,0
AC005229.4,0
AC005229.5,0
AC005232.1,0
AC005234.1,0
AC005234.2,0
AC005237.1,0
AC005244.2,0
AC005252.4,0
AC005253.1,0
AC005253.2,0
AC005256.1,0
AC005258.2,0
AC005261.1,0
AC005261.2,0
AC005261.3,0
AC005262.2,0
AC005264.1,0
AC005277.1,0
AC005277.2,0
AC005280.1,0
AC005280.2,0
AC005281.1,0
AC005288.1,0
AC005291.1,0
AC005291.2,0
AC005293.1,0
AC005301.2,0
AC005303.1,0
AC005304.1,0
AC005304.2,0
AC005304.3,0
AC005306.1,0
AC005307.1,0
AC005323.1,0
AC005323.2,0
AC005324.1,0
AC005324.2,0.071
AC005324.5,0
AC005329.1,0
AC005329.2,0
AC005329.3,0
AC005330.1,0
AC005332.1,0
AC005332.2,0
AC005332.3,0
AC005332.4,0
AC005332.5,0
AC005332.6,0
AC005332.7,0
AC005339.1,0
AC005342.1,0
AC005342.2,0
AC005343.1,0
AC005343.4,0
AC005344.1,0
AC005355.1,0
AC005358.1,0
AC005358.2,0
AC005363.2,0
AC005379.1,0
AC005381.1,0
AC005383.1,0
AC005387.1,0
AC005387.2,0
AC005391.1,0
AC005392.1,0
AC005392.2,0
AC005392.3,0
AC005393.1,0
AC005394.1,0
AC005400.1,0
AC005410.2,0
AC005414.1,0
AC005476.2,0
AC005479.1,0
AC005479.2,0
AC005480.1,0
AC005481.1,0
AC005482.1,0
AC005486.1,0
AC005487.1,0
AC005495.2,0
AC005498.1,0
AC005498.2,0
AC005498.3,0
AC005518.1,0
AC005519.1,0
AC005520.2,0
AC005520.3,0
AC005520.5,0
AC005522.1,0
AC005523.1,0
AC005523.2,0
AC005529.1,0
AC005532.1,0
AC005534.1,0
AC005537.1,0
AC005538.1,0
AC005538.3,0
AC005540.1,0
AC005544.1,0
AC005544.2,0
AC005546.1,0
AC005548.1,0
AC005549.1,0
AC005550.1,0
AC005550.2,0
AC005551.1,0.571
AC005552.1,0
AC005562.1,0
AC005580.1,0
AC005586.1,0
AC005586.2,0
AC005592.1,0
AC005592.2,0
AC005594.1,0
AC005597.1,0
AC005599.1,0
AC005606.1,0
AC005606.2,0
AC005609.1,0
AC005609.2,0
AC005609.3,0
AC005609.4,0
AC005609.5,0
AC005614.1,0
AC005616.1,0
AC005618.1,0
AC005618.2,0
AC005618.3,0
AC005618.4,0
AC005625.1,0
AC005632.3,0
AC005632.5,0
AC005632.6,0
AC005670.1,0
AC005670.3,0
AC005674.1,0
AC005674.2,0
AC005682.2,0
AC005692.1,0
AC005692.2,0
AC005692.3,0
AC005695.1,0
AC005695.2,0
AC005695.3,0
AC005696.1,0
AC005696.2,0
AC005696.3,0
AC005696.4,0
AC005697.2,0
AC005697.3,0
AC005699.1,0
AC005702.5,0
AC005703.1,0
AC005703.2,0
AC005703.3,0
AC005703.4,0
AC005703.7,0
AC005722.3,0
AC005722.4,0
AC005725.1,0
AC005726.1,0.143
AC005726.2,0
AC005726.3,0
AC005726.4,0
AC005726.5,0
AC005730.2,0
AC005730.3,0
AC005736.1,0
AC005736.2,0
AC005740.3,0
AC005740.4,0
AC005740.5,0
AC005746.1,0
AC005746.2,0
AC005746.3,0
AC005753.1,0
AC005753.2,0
AC005753.3,0
AC005757.1,0
AC005759.1,0
AC005772.1,0
AC005772.2,0
AC005774.2,0
AC005775.1,0
AC005776.2,0
AC005785.1,0
AC005786.2,0
AC005786.3,0
AC005789.1,0
AC005790.1,0
AC005803.1,0
AC005808.1,0
AC005821.1,0
AC005821.2,0
AC005823.1,0
AC005823.2,0
AC005828.1,0
AC005828.2,0
AC005828.3,0
AC005828.4,0
AC005828.5,0
AC005832.1,0
AC005833.2,0
AC005837.1,0
AC005837.4,0
AC005838.2,0
AC005840.2,0
AC005840.4,0
AC005841.1,0
AC005842.1,0
AC005845.1,0
AC005856.1,0
AC005863.1,0
AC005865.2,0
AC005871.1,0
AC005871.2,0
AC005884.1,0
AC005884.2,0
AC005888.1,0
AC005899.1,0
AC005899.3,0
AC005899.5,0
AC005899.6,0
AC005899.7,0
AC005899.8,0
AC005901.1,0
AC005906.2,0
AC005906.3,0
AC005908.2,0
AC005908.3,0
AC005909.1,0
AC005909.2,0
AC005911.1,0
AC005912.2,0
AC005914.1,0
AC005920.1,0
AC005920.2,0
AC005920.3,0
AC005920.4,0
AC005921.2,0
AC005921.4,0
AC005944.1,0
AC005954.1,0
AC005954.2,0
AC005962.1,0
AC005962.2,0
AC005972.3,0
AC005993.1,0
AC005996.1,0
AC005998.1,0
AC005999.1,0
AC005999.2,0
AC006001.2,0
AC006003.1,0
AC006004.1,0
AC006007.1,0
AC006008.1,0
AC006013.1,0
AC006017.1,0
AC006019.1,0
AC006019.2,0
AC006019.3,0
AC006026.3,0
AC006027.1,0
AC006033.2,0
AC006037.1,0
AC006040.1,0
AC006041.1,0
AC006041.2,0
AC006042.1,0
AC006042.2,0
AC006042.4,0
AC006043.1,0
AC006055.1,0
AC006058.1,0
AC006058.2,0
AC006058.3,0
AC006059.1,0
AC006059.4,0
AC006059.5,0
AC006062.1,0
AC006063.1,0
AC006063.2,0
AC006063.3,0
AC006063.4,0
AC006064.1,0
AC006064.2,0
AC006064.3,0
AC006064.4,0
AC006064.5,0
AC006065.3,0
AC006065.4,0
AC006076.1,0
AC006111.1,0
AC006111.2,0
AC006111.3,0
AC006112.1,0
AC006115.2,0
AC006116.10,0
AC006116.11,0
AC006116.4,0
AC006116.5,0
AC006116.6,0
AC006116.8,0
AC006116.9,0
AC006130.1,0
AC006130.3,0
AC006141.1,0
AC006144.2,0
AC006145.1,0
AC006146.1,0
AC006148.1,0
AC006148.2,0
AC006150.1,0
AC006157.1,0
AC006159.1,0
AC006159.2,0
AC006160.1,0
AC006197.2,0
AC006205.1,0
AC006205.2,0
AC006206.1,0
AC006206.2,0
AC006207.1,0
AC006213.1,0
AC006213.2,0
AC006213.3,0
AC006213.4,0
AC006213.5,0
AC006213.7,0
AC006230.1,0
AC006237.1,0
AC006238.1,0
AC006238.2,0
AC006249.1,0
AC006252.1,0
AC006262.1,0
AC006262.2,0
AC006262.3,0
AC006270.1,0
AC006272.1,0
AC006273.1,0
AC006288.1,0
AC006296.1,0
AC006296.2,0
AC006296.3,0
AC006299.1,0
AC006305.1,0
AC006305.2,0
AC006305.3,0
AC006329.1,0
AC006333.1,0
AC006333.2,0
AC006348.1,0
AC006355.2,0
AC006357.1,0
AC006364.1,0
AC006369.1,0
AC006369.2,0
AC006372.1,0
AC006372.2,0
AC006372.3,0
AC006378.1,0
AC006387.1,0
AC006398.1,0
AC006427.2,0
AC006435.1,0
AC006435.2,0
AC006435.3,0
AC006441.1,0
AC006441.3,0
AC006441.4,0
AC006445.3,0
AC006449.1,0
AC006449.2,0
AC006449.3,0
AC006449.5,0
AC006449.6,0
AC006450.1,0
AC006450.2,0
AC006450.3,0
AC006452.1,0
AC006455.1,0
AC006455.4,0
AC006455.5,0
AC006458.1,0
AC006459.1,0
AC006460.1,0
AC006460.2,0
AC006478.1,0
AC006478.2,0
AC006480.2,0
AC006482.1,0
AC006483.2,0
AC006487.1,0
AC006487.2,0
AC006504.1,0
AC006504.2,0
AC006504.5,0
AC006504.7,0
AC006511.4,0
AC006511.6,0
AC006517.2,0
AC006525.1,0
AC006538.1,0
AC006538.3,0
AC006538.4,0
AC006547.1,0
AC006547.2,0
AC006547.3,0
AC006557.1,0
AC006557.3,0
AC006566.1,0
AC006566.2,0
AC006581.1,0
AC006581.2,0
AC006942.1,0
AC006946.2,0
AC006946.3,0
AC006947.1,0
AC006960.2,0
AC006960.3,0
AC006967.2,0
AC006967.3,0
AC006970.3,0
AC006972.1,0
AC006974.1,0
AC006974.2,0
AC006994.2,0
AC007001.1,0
AC007003.1,0
AC007009.1,0
AC007014.1,0
AC007014.2,0
AC007029.1,0
AC007032.1,0
AC007036.1,0
AC007036.2,0
AC007036.3,0
AC007036.5,0
AC007038.1,0
AC007038.2,0
AC007040.1,0
AC007064.2,0
AC007066.2,0
AC007066.3,0
AC007091.1,0
AC007098.1,0
AC007099.1,0
AC007099.2,0
AC007100.1,0
AC007100.2,0
AC007106.1,0
AC007106.2,0
AC007114.1,0
AC007114.2,0
AC007126.1,0
AC007128.2,0
AC007130.1,0
AC007132.1,0
AC007159.1,0
AC007163.1,0
AC007179.1,0
AC007179.2,0
AC007182.1,0
AC007192.2,0
AC007193.1,0
AC007193.2,0
AC007193.3,0
AC007216.1,0
AC007216.2,0
AC007216.3,0
AC007216.4,0
AC007218.1,0
AC007218.2,0
AC007218.3,0
AC007220.1,0
AC007220.2,0
AC007221.1,0
AC007222.2,0
AC007223.1,0
AC007240.3,0
AC007244.1,0
AC007250.1,0
AC007255.1,0
AC007262.2,0
AC007269.1,0
AC007271.1,0
AC007272.1,0
AC007277.1,0
AC007278.1,0
AC007278.2,0
AC007279.2,0
AC007283.1,0
AC007285.1,0
AC007285.2,0
AC007292.1,0
AC007292.2,0
AC007292.3,0
AC007298.1,0
AC007298.2,0
AC007308.1,0
AC007314.1,0
AC007317.1,0
AC007317.2,0
AC007319.1,0
AC007325.1,0
AC007325.2,0
AC007325.4,0
AC007326.2,0
AC007326.5,0
AC007327.2,0
AC007333.1,0
AC007333.2,0
AC007336.1,0
AC007336.2,0
AC007342.1,0
AC007342.4,0
AC007342.5,0
AC007343.1,0
AC007344.1,0
AC007347.1,0
AC007349.1,0
AC007349.2,0
AC007349.3,0
AC007349.4,0
AC007350.1,0
AC007359.1,0
AC007362.1,0
AC007364.1,0
AC007365.1,0
AC007368.1,0
AC007370.1,0
AC007370.2,0
AC007375.3,0
AC007376.2,0
AC007378.1,0
AC007381.1,0
AC007381.2,0
AC007383.2,0
AC007383.3,0
AC007384.1,0
AC007387.2,0
AC007387.3,0
AC007389.1,0
AC007389.3,0
AC007389.5,0
AC007390.2,0
AC007391.1,0
AC007391.2,0
AC007391.3,0
AC007402.1,0
AC007402.2,0
AC007403.1,0
AC007405.1,0
AC007405.2,0
AC007405.3,0
AC007405.4,0
AC007406.1,0
