Name,Internal Name,Antigen,Company,Trials ▼,Patents,Papers,Seq,Activity by Year,symbol
utomilumab,"1635395-25-3 , PF-05082566, MOR-7480.1",4-1BB,"Morphosys, Pfizer",14.0,10.0,11.0,✓,,TNFRSF9
selicrelumab,"21.4.1, CP-870, 893, CP-870893, RG7876",CD40,"Abgenix, Amgen, Genentech, Pfizer, VLST",8.0,12.0,4.0,✓,,CD40
bivatuzumab mertansine,"BIWI 1, BIWA 4",CD44v6,Boehringer,7.0,7.0,8.0,✓,,CD44
apolizumab,"Remitogen, 1D10, HU1D10, K8-355",HLA-DR β,"Facet, PDL",6.0,7.0,7.0,?,,HLA-DRB1
apamistamab   ==,"iodine (131I) apamistamab, 90Y-BC8, Iomab-B, BC8",CD45,Actinium,6.0,26.0,3.0,✓,,PTPRC
tuparstobart,"INCAGN2385, INCAGN02385",LAG-3,"Agenus, Incyte, Xoma",6.0,11.0,,✓,,LAG3
verzistobart   ==,"INCAGN02390, INCAGN-2390",TIM-3,"Agenus, Incyte",6.0,,,nan,,HAVCR2
budigalimab,"ABBV-181, PR-1648817",PD-1,Abbvie,6.0,8.0,4.0,✓,,PDCD1
zeluvalimab,AMG404,PD-1,Amgen,6.0,7.0,1.0,nan,,PDCD1
peresolimab,LY3462817,PD-1,Lilly,6.0,6.0,1.0,nan,,PDCD1
IBI322,IBI-322,CD47,Innovent,5.0,2.0,1.0,nan,,CD47
IBI322,IBI-322,PD-L1,Innovent,5.0,2.0,1.0,nan,,CD274
AMG 811,nan,IFN-γ,"Amgen, Medarex",4.0,16.0,2.0,✓,,IFNG
dusigitumab,MEDI-573,IGF-1,Medimmune,4.0,8.0,4.0,✓,,IGF1
dusigitumab,MEDI-573,IGF-2,Medimmune,4.0,8.0,4.0,✓,,IGF2
sibrotuzumab,"BIBH 1, humanized F19",FAP,"Boehringer, LSP",4.0,8.0,7.0,✓,,FAP
depatuxizumab   >>   ==,"mAb806, LICR 806, ABT-806, ch806",EGFR,"Abbott, LSP, Ludwig Inst.",4.0,19.0,14.0,✓,,EGFR
RO5323441,C9.V2,PLGF,"Genentech, Roche",4.0,1.0,4.0,nan,,PGF
vantictumab,OMP-18R5,FZD,"Bayer, Morphosys, OncoMed",4.0,31.0,4.0,✓,,FZD1
brontictuzumab,"13M57, OMP-52M51, OMP-A2G1",Notch1,OncoMed,4.0,26.0,4.0,✓,,NOTCH1
City of Hope patent anti-CEA,"T84.66, M5A, Ac225-DOTA-M5A",CEACAM5,City of Hope,4.0,3.0,7.0,nan,,CEACAM5
2141-V11   ==,BMS patent anti-CD40,CD40,"BMS, Rockefeller U., Sloan-Kettering",4.0,42.0,1.0,nan,,CD40
cibisatamab   <<,"RO6958688, RG7802, CEA TCB",CD3,Glycart,4.0,35.0,5.0,✓,,CD3E
cibisatamab   <<,"RO6958688, RG7802, CEA TCB",CEACAM5,Glycart,4.0,35.0,5.0,✓,,CEACAM5
AGT-181   <<,HIRMAb-IDUA,INSR,ArmaGen,4.0,,1.0,nan,,INSR
MVT-5873,"BNT321, HuMab-5B1, MVT-1075, [89Zr]DFO-HuMab-5B1, MVT-2163",Sialyl-Lewis A,"BioNTech, MabVax",4.0,8.0,4.0,nan,,FUT3
GSK3174998   ==,nan,OX40,"GSK, MD Anderson",4.0,,1.0,nan,,TNFRSF4
Baylor Coll.Med. anti-GD2 CAR,iC9-GD2-CD28-OX40,GD2,Baylor Coll.Med.,4.0,4.0,,nan,,nan
NCI anti-CD19 CAR,FMC63 71,CD19,NCI,4.0,2.0,4.0,nan,,CD19
UCART19   <<,Cellectis patent anti-CD19 CAR,CD19,"Allogene, Cellectis",4.0,14.0,,nan,,CD19
lodapolimab,LY3300054,PD-L1,Lilly,4.0,6.0,4.0,✓,,CD274
CDP1   ••,BC001,EGFR,"Dragonboat Biopharma, Guilin Sanjin Pharma",4.0,,,nan,,EGFR
VRDN-002   >>,"AVE1642, AVE-1642, EM164, VRDN-001",IGF-1R,"Fusion Pharma, ImmunoGen, Viridian",3.0,41.0,,?,,IGF1R
BIIB022   ==,M14,IGF-1R,Biogen,3.0,9.0,1.0,?,,IGF1R
IMA-026   ==,nan,IL-13,"Pfizer, Wyeth",3.0,2.0,3.0,✓,,IL13
AMG 211,"MT111, MEDI-565, A5B7",CD3,"Medimmune, Micromet",3.0,12.0,4.0,nan,,CD3E
AMG 211,"MT111, MEDI-565, A5B7",CEACAM5,"Medimmune, Micromet",3.0,12.0,4.0,nan,,CEACAM5
KHK6640,Oncotherapy patent anti-Amyloid Beta,Amyloid beta,"Immunas, KHK, Oncotherapy",3.0,15.0,,nan,,APP
CSL324,nan,G-CSF,CSL,3.0,12.0,2.0,nan,,CSF3
JNJ-42915925   ==,"CNTO 3157, PRV-300",TLR3,"Centocor Ortho, Janssen Biotech, Morphosys, Provention Bio",3.0,,,nan,,TLR3
lumretuzumab   >>,"RG7116, Mab 205, GE-huMab-HER3, RO5479599",HER3,"Glycart, Roche",3.0,21.0,10.0,✓,,ERBB3
crebankitug,"RN168, ZB-168, PF-06342674",IL-7RA,"Pfizer, Rinat, zurabio",3.0,13.0,3.0,✓,,IL7R
cirmtuzumab   >>,UC-961,ROR1,U.California,3.0,35.0,5.0,nan,,ROR1
hu14.18K322A   <<,nan,GD2,St. Jude Hospital,3.0,1.0,4.0,nan,,nan
CC-90002   ==,INBRX-103,CD47,"Celgene, Inhibrx",3.0,27.0,2.0,nan,,CD47
MEDI0680,AMP-514,PD-1,"Amplimmune, Medimmune",3.0,3.0,3.0,nan,,PDCD1
MEN1309,OBT076,DEC-205,Oxford Bio,3.0,10.0,2.0,nan,,LY75
RG7876,RO7009789,CD40,Genentech,3.0,,,nan,,CD40
CM-101,nan,Eotaxin-2,ChemomAb,3.0,13.0,2.0,nan,,CCL24
U.Penn. patent anti-Mesothelin CAR,nan,Mesothelin,"Novartis, U.Penn.",3.0,6.0,1.0,nan,,MSLN
imvotamab,IGM-2323,CD20,IGM Bio,3.0,2.0,,nan,,MS4A1
