final_gene,count,total_patents
AARS,2,4
ABCA1,1,2
ABCB1,2,2
ABCB11,1,1
ABCB5,2,11
ABCC4,1,1
ABCG2,2,5
ACAN,1,2
ACE,1,1
ACE2,1,1
ACKR3,3,4
ACTA2,1,17
ACTN4,2,6
ACVR1,5,18
ACVR1B,7,42
ACVR1C,1,9
ACVR2A,6,26
ACVR2B,6,63
ACVRL1,1,1
ADAM10,1,5
ADAM12,2,3
ADAM15,1,2
ADAM17,8,16
ADAM28,1,8
ADAM8,1,2
ADAM9,1,11
ADAMTS13,3,10
ADAMTS4,2,5
ADAMTS5,4,7
ADCY1,2,10
ADCYAP1R1,2,22
ADGRE2,1,1
ADGRG2,1,4
ADGRL1,1,2
ADM,1,32
ADORA2A,2,2
ADRB1,1,1
ADRB3,1,2
AGER,8,58
AGT,1,1
AGTR1,3,13
ALB,22,63
ALK,7,15
ALOX12,1,1
ALPL,5,8
AMH,5,15
AMHR2,4,30
ANGPT1,4,15
ANGPT2,32,246
ANGPTL3,5,39
ANGPTL4,7,31
ANGPTL8,3,25
ANO1,1,5
ANP32B,5,37
ANPEP,2,1
ANXA1,5,16
ANXA2,3,5
ANXA4,1,1
AP1B1,1,4
AP1G1,1,4
AP1M1,1,4
AP1M2,1,4
AP1S1,1,4
AP1S2,1,4
AP1S3,1,4
AP2M1,1,8
APC,1,1
APCS,1,6
APLN,2,6
APLNR,1,14
APOA2,2,1
APOA4,1,3
APOB,2,12
APOBEC3B,1,5
APOC3,2,20
APOE,7,23
APOH,1,3
APOL1,1,1
APP,80,660
AQP3,1,6
AQP4,3,8
ARAP2,1,3
AREG,4,11
ARG1,1,1
ARHGEF7,1,2
ASCL1,1,2
ASGR1,5,37
ASIC1,2,10
ASPH,2,8
ASTN2,1,3
ATP5F1B,1,0
ATR,1,3
AURKA,1,2
AVPR1A,2,4
AVPR2,1,4
AXL,20,130
B3GNT7,43,147
B4GALT7,15,70
BACE1,6,31
BAG2,1,2
BAG3,1,14
BAX,3,11
BCAM,1,1
BCL2,3,19
BCL2L11,1,1
BCL6,3,16
BCR,1,0
BDNF,2,11
BMP1,1,1
BMP10,1,4
BMP4,3,7
BMP6,4,16
BMPR1A,1,2
BMPR1B,1,4
BRAF,2,4
BRD1,1,2
BTN1A1,1,11
BTN2A1,1,5
BTN3A1,3,15
BTNL3,1,2
BTNL8,1,1
BTNL9,1,3
BUB1B,1,1
C15orf39,1,7
C16orf54,1,3
C1QA,3,22
C1S,6,50
C2orf74,4,15
C3AR1,1,1
C4A,1,1
C5AR1,6,31
CA12,3,12
CA9,17,59
CABLES1,1,4
CACNA1A,4,7
CACNA1C,2,5
CACNA1D,2,2
CACNA1S,1,4
CACNA2D1,1,3
CADM1,3,7
CADM2,1,0
CADM3,1,2
CALCR,1,1
CALCRL,9,200
CALR,4,8
CAMLG,1,1
CARTPT,1,1
CAV1,2,3
CBLN1,1,1
CCL11,1,15
CCL14,1,2
CCL17,1,8
CCL18,1,11
CCL2,10,46
CCL21,2,2
CCL28,1,1
CCL3,1,3
CCL5,1,3
CCL8,1,3
CCN1,3,2
CCN2,3,41
CCR1,1,3
CCR2,6,42
CCR4,7,85
CCR5,7,43
CCR6,3,6
CCR7,6,25
CCR8,17,36
CCR9,3,6
CCT5,1,2
CD109,1,0
CD14,5,27
CD151,1,10
CD160,6,23
CD19,101,409
CD1A,2,3
CD1D,2,10
CD2,5,12
CD200,2,40
CD200R1,4,9
CD22,60,293
CD226,2,4
CD24,9,10
CD27,50,214
CD274,213,823
CD28,16,87
CD2AP,1,3
CD300A,1,3
CD33,38,183
CD34,3,8
CD36,1,2
CD37,15,95
CD38,34,235
CD3D,141,539
CD3E,59,292
CD3G,35,135
CD4,27,82
CD40,64,411
CD40LG,16,115
CD44,21,45
CD46,4,24
CD47,92,294
CD48,5,19
CD5,11,21
CD52,8,57
CD53,1,2
CD55,6,9
CD59,5,7
CD6,5,59
CD63,7,11
CD69,2,7
CD7,13,21
CD70,26,147
CD72,2,2
CD79B,17,98
CD80,5,21
CD81,5,13
CD82,2,1
CD83,4,19
CD84,1,11
CD86,4,1
CD8A,14,42
CD8B,2,3
CD9,10,20
CD93,3,6
CD96,4,10
CD99,5,7
CDC7,20,151
CDH1,40,115
CDH11,3,5
CDH17,4,13
CDH19,1,6
CDH2,3,11
CDH3,5,42
CDH6,2,13
CDK5R1,1,2
CEACAM1,16,115
CEACAM4,1,1
CEACAM5,34,153
CEACAM6,11,40
CEL,1,2
CEMIP2,1,4
CETP,2,5
CFB,6,49
CFD,5,59
CFH,3,18
CGA,2,3
CHI3L1,5,21
CHPT1,1,18
CHRM1,1,4
CHRNA7,1,2
CLDN1,2,17
CLDN18,69,198
CLDN2,1,3
CLDN3,6,8
CLDN4,5,5
CLDN5,1,6
CLDN6,15,62
CLDN9,2,4
CLEC12A,22,73
CLEC12B,1,1
CLEC14A,3,14
CLEC1A,1,2
CLEC2D,2,7
CLEC6A,1,2
CLEC7A,3,9
CLEC9A,2,2
CLIC1,1,1
CLPTM1,1,2
CLPTM1L,1,1
CLTC,2,3
CLTRN,1,4
CLU,3,11
CMA1,2,28
CNPY2,1,3
CNR1,3,11
COL11A1,1,1
COL1A1,9,34
COL6A3,2,32
CPA1,1,74
CPED1,2,3
CR2,2,2
CRH,2,2
CRLF2,9,28
CRP,1,1
CSF1R,1,1
CSF2,14,146
CSF2RB,2,5
CSF3,2,11
CSF3R,1,12
CSPG5,2,4
CTLA4,80,402
CTSD,1,5
CTSS,1,12
CX3CL1,2,8
CX3CR1,3,7
CXCL1,4,20
CXCL10,5,30
CXCL12,4,8
CXCL13,5,22
CXCL2,1,1
CXCL8,8,53
CXCL9,1,1
CXCR2,7,15
CXCR3,7,28
CXCR4,17,77
CXCR5,8,48
DAG1,2,1
DCC,3,15
DCSTAMP,2,6
DDR1,9,16
DDR2,2,5
DDX4,1,7
DENND1A,1,6
DICER1,1,1
DIPK2A,11,54
DKK1,13,45
DKK2,2,7
DKK3,2,4
DLK1,3,4
DLL3,19,124
DLL4,1,4
DMBT1,6,18
DPEP1,2,2
DPEP3,1,5
DPP3,1,0
DPP4,6,26
DSG1,1,3
DSG2,1,4
DSG3,1,4
DTL,3,13
DYNC2LI1,1,2
EBP,1,1
EDA,1,3
EDAR,1,5
EDN1,1,3
EDNRA,4,18
EDNRB,2,13
EFEMP1,1,5
EFNA2,11,54
EFNA4,1,17
EFNA5,1,4
EFNB1,1,2
EFNB2,6,15
EGFL6,3,6
EGFL7,3,16
EGFR,388,1776
ELAVL1,1,1
EMG1,1,4
EML2,3,10
EMP2,1,12
EN2,1,2
ENO1,4,17
ENPP2,1,2
ENTPD1,13,55
ENTPD2,1,7
ENTPD3,6,4
ENTPD5,37,133
EPB41L5,1,2
EPHA10,1,0
EPHA2,3,3
EPHA3,3,23
EPHA4,1,0
EPHB3,1,12
EPHB4,1,0
EPO,3,16
EPOR,4,26
EPSTI1,1,0
ERBB2,13,22
ERBB3,73,333
EREG,1,10
ERFE,3,6
ERG,2,7
ESR1,1,5
ESR2,1,0
EVA1A,1,4
F10,6,68
F11,13,91
F12,6,33
F13A1,5,8
F2,7,29
F2RL1,4,25
F2RL3,4,88
F3,15,123
F5,2,2
F8,7,30
F9,7,71
FADS2,1,2
FAP,25,104
FAS,6,16
FASLG,5,11
FASN,1,5
FAT1,1,2
FCAR,5,6
FCER1A,4,9
FCER1G,1,5
FCGR1A,6,9
FCGR1B,1,1
FCGR2A,4,15
FCGR2B,14,86
FCGR3A,21,50
FCGR3B,6,2
FCGRT,16,97
FCMR,1,5
FCN3,1,2
FCRL4,1,3
FCRL5,4,6
FGA,1,2
FGB,1,8
FGF1,2,0
FGF19,4,15
FGF2,3,9
FGF21,3,2
FGF23,2,11
FGF7,1,0
FGF8,1,2
FGFR1,13,64
FGFR2,17,79
FGFR3,12,51
FGFR4,15,45
FGL1,1,1
FGL2,2,6
FLNA,2,4
FLNB,1,1
FLT1,7,34
FLT3,22,60
FLT4,2,9
FN1,17,82
FOLH1,47,158
FOLR1,22,145
FOLR3,2,9
FOXP3,2,3
FSHB,2,4
FSHR,3,7
FSTL1,2,7
FSTL3,1,4
FTL,1,5
FUT1,2,20
FUT4,1,0
FUT8,2,2
FZD10,2,11
FZD2,1,6
FZD4,1,12
FZD5,3,9
FZD7,6,41
GABRG1,3,10
GAD1,3,7
GAL,1,1
GALNT1,1,3
GALNT10,2,5
GALNT12,1,4
GALNT3,1,3
GALNT8,1,0
GAP43,1,3
GAPDH,16,54
GARS,1,1
GAS1,1,1
GAS6,1,3
GAST,4,47
GATA2,2,8
GBGT1,1,2
GCG,5,10
GCGR,11,67
GDF11,1,2
GDF2,2,8
GFAP,1,7
GFI1,2,1
GFRAL,9,16
GHR,2,3
GHRL,4,8
GIP,1,12
GIPR,5,16
GJA1,6,49
GLB1,7,35
GLP1R,5,18
GM2A,18,99
GMDS,9,36
GMFB,1,5
GNG2,1,1
GNG5,2,1
GNGT1,2,16
GNGT2,29,340
GNRHR,1,12
GP1BA,2,5
GP6,6,31
GPA33,1,1
GPC1,4,12
GPC2,3,10
GPC3,43,143
GPC4,1,1
GPR108,1,2
GPR183,6,3
GPR20,1,8
GPR87,1,2
GPRC5A,69,351
GPRC5D,11,28
GPRIN3,2,2
GRIN1,1,1
GRIN2A,1,0
GRM2,1,3
GRM5,1,2
GRN,2,0
GSDMD,1,1
GSTM2,1,10
GUCY1A1,2,2
GUCY2C,9,35
GUCY2D,5,15
GYPA,9,30
H2AFZ,1,12
H2BFWT,1,13
H3F3A,2,14
HABP2,1,1
HAMP,4,28
HARS,1,1
HAVCR1,4,12
HAVCR2,48,208
HBB,1,3
HBEGF,5,29
HCRTR1,1,6
HDAC11,1,1
HGF,11,48
HGFAC,1,5
HHEX,3,8
HIF1A,2,5
HIST1H1C,5,9
HIST1H3A,1,4
HIST1H4A,1,12
HJV,1,1
HLA-A,5,20
HLA-B,3,7
HLA-C,2,6
HLA-DQA1,2,9
HLA-DRB1,2,4
HLA-G,6,27
HMGN1,5,22
HPN,2,5
HPSE,1,1
HS6ST2,1,3
HSP90B1,9,35
HSPA1A,2,3
HSPA5,6,32
HSPA9,1,4
HSPB1,1,3
HSPD1,1,0
HSPE1,1,4
HSPG2,1,2
HTR1A,3,13
HTR3A,1,1
HTT,2,10
IAPP,2,21
ICAM1,16,45
ICAM3,1,1
ICAM4,1,1
ICOS,7,114
IDE,1,2
IDO1,1,2
IFITM5,1,2
IFN1@,10,57
IFNA1,1,14
IFNAR1,7,50
IFNAR2,1,1
IFNB1,2,8
