gene_rank,gene_name,target_score,Rank_JG,Rank_JV,Rank_ML,Rank_AVG,bias_check,notes,apical,target_val,specificity,n_off_targets,off_targets,surface,pos_low,pos_med,pos_hi,tx_id,tx_type,tx_score,tx_n_mem,tx_ecd,tx_summary,tx_n_aa,gly_n_link,gly_o_link,p_positive_0.01
1,PRSS21,0.1,,1.25,,1.25,,,not_apical,2.191;2.048,0.54,0,testes:non immune,0.31,0.552238806,0.4328358209,0.08955223881,ENST00000450020;ENST00000005995;ENST00000570594,SP;SP;SP,15;15;13,0;0;0,281-281;295-295;56-56,19S.281O;19S.295O;25S.56O,300;314;81,N167;N200;N273,,0.67
2,DPEP3,0.143,,1.5,,1.5,,,not_apical,1.213;1.13,0.78,0,testes:non immune,0.19,0.0447761194,0.0447761194,0.01492537313,ENST00000672962;ENST00000268793;ENST00000574342,NA;SP;NA,40;40;21,NA;0;NA,NA-NA;453-453;NA-NA,NA;60S.453O;NA,NA;513;NA,N334,,0.04
3,UMODL1,0.171,,3,,3,,Prob non-coding isoform,apical,0.67;0.527,0.49,0,,0.88,0.1641791045,0.05970149254,0,ENST00000400423;ENST00000400424;ENST00000400427,NA;TM;TM,42;11;11,NA;1;1,NA-NA;1200-1200;1328-1328,NA;1200O.21M.25I;1328O.21M.25I,NA;1246;1374,N89;N109;N172;N322;N335;N417;N585;N713;N984;N1050,,0.43
4,FUT4,0.171,,2,,2,,Neutrophils,not_apical,3.033;1.998,0.55,2,blood:GMP;small_intestine:paneth cell,0.69,0.8656716418,0.3432835821,0.02985074627,ENST00000358752,TM,100,1,360-360,152I.18M.360O,530,N216;N315,S186;S182;T184,1
5,NCR2,0.2,,1.5,,1.5,,low pct. patients,not_apical,0.607;0.591,0.5,1,pan:T cell CD8,0.88,0.05970149254,0.0447761194,0,ENST00000373089;ENST00000373083;ENST00000373086,SP+TM;SP+TM;SP+TM,46;31;12,1;1;1,172-172;171-171;184-184,21S.172O.21M.62I;21S.171O.21M.45I;21S.184O.21M.44I,276;258;270,N180,,0.15
6,PRAME,0.243,,1.5,,1.5,,,not_apical,1.293;0.949,0.54,0,ovary:non immune;testes:non immune,0.12,0.1343283582,0.07462686567,0.01492537313,ENST00000492657;ENST00000543184;ENST00000405655,NA;GLOB;GLOB,11;11;10,NA;0;0,NA-NA;NA-NA;NA-NA,NA;509I;509I,NA;509;509,,,0.39
7,SPNS3,1.271,,2,,2,,"Eosiniophils, low in Lymphocytes",not_apical,3.301;2.568,0.49,3,bone_marrow:LMPP;bone_marrow:progenitor-DC;pan:pDC,0.75,0.8656716418,0.6417910448,0.1343283582,ENST00000355530;ENST00000575194;ENST00000576069,TM;TM;NA,35;30;27,12;1;NA,4-28;136-136;NA-NA,45I.24M.13O.23M.6I.20M.5O.21M.17I.21M.8O.21M.35I.22M.28O.21M.12I.21M.4O.21M.17I.18M.25O.21M.43I;45I.21M.136O;NA,512;202;NA,,,0.99
8,PRTN3,1.343,,2.5,,2.5,,intracellular or secreted,not_apical,9.429;2.013,0.89,3,blood:GMP;bone_marrow:GMP;spleen:neutrophil,0.12,0.552238806,0.2388059701,0,ENST00000234347;ENST00000544537,SP;GLOB,55;45,0;0,231-231;215-215,25S.231O;215O,256;215,N129;N174;N186,,0.97
9,GPR32,2.329,,3,,3,,,not_apical,0.061;0.026,0.94,0,,0.88,0,0,0,ENST00000270590,TM,75,7,11-44,44O.26M.7I.23M.11O.26M.20I.22M.34O.25M.18I.22M.21O.21M.36I,356,N30;N199,,0.06
10,PLPPR3,2.343,,2.5,,2.5,,,not_apical,3.273;1.85,0.53,2,eye:neuron-proliferating;eye:retinal ganglion cell,0.75,0.552238806,0.3880597015,0.08955223881,ENST00000520876;ENST00000359894;ENST00000519502,TM;TM;TM,38;37;21,6;6;2,11-54;9-53;31-31,20I.19M.33O.23M.37I.21M.54O.11M.16I.17M.11O.16M.440I;20I.19M.33O.23M.37I.21M.53O.10M.46I.16M.9O.19M.440I;21I.18M.31O.21M.37I,718;746;128,N169;N318,,0.84
11,GAL3ST2,2.4,,2.5,,2.5,,really strong colon offtarget in bulk?,not_apical,0.337;0.242,0.39,0,,0.62,0.1641791045,0.01492537313,0,ENST00000192314,TM,100,1,367-367,13I.18M.367O,398,N79;N132;N179;N287;N330;N360,,0.54
12,KCNE5,2.429,,2.5,,2.5,,,not_apical,1.817;0.545,0.56,3,bone_marrow:GMP;bone_marrow:progenitor-DC;thymus:cTEC,0.81,0.07462686567,0.02985074627,0.01492537313,ENST00000372101,TM,73,1,59-59,59O.21M.62I,142,N2;N25,,0.16
13,MPL,2.443,,3,,3,,,not_apical,0.809;0.483,0.46,1,bone_marrow:progenitor-Mk,0.81,0.2985074627,0.07462686567,0,ENST00000372470;ENST00000413998;ENST00000638732,SP+TM;SP+TM;NA,34;32;30,1;1;NA,472-472;465-465;NA-NA,21S.472O.20M.122I;21S.465O.20M.122I;NA,635;628;NA,N117;N178;N298;N358,,0.73
14,SCHIP1,2.471,,3,,3,,,not_apical,2.408;1.432,0.36,1,common_bile_duct:schwann cell,0.12,0.671641791,0.2985074627,0.05970149254,ENST00000445224;ENST00000495954;ENST00000461058,GLOB;GLOB;NA,22;15;15,0;0;NA,NA-NA;NA-NA;NA-NA,244I;52I;NA,244;52;NA,,,0.91
15,AZU1,3.329,,3,,3,,"secreted, neutrophil",not_apical,34.299;14.241,0.97,4,blood:GMP;blood:plasma cell;bone_marrow:GMP;spleen:neutrophil,0.19,0.8656716418,0.6268656716,0.3731343284,ENST00000233997;ENST00000592205,SP;GLOB,55;45,0;0,232-232;150-150,19S.232O;150O,251;150,partial 126;N140;partial 171;N126;N171,,1
16,MS4A3,3.371,,3,,3,,On later blasts,not_apical,5.968;5.456,0.89,5,blood:GMP;blood:granulocyte;blood:plasma cell;bone_marrow:GMP;spleen:neutrophil,0.69,0.2985074627,0.1343283582,0.0447761194,ENST00000278865;ENST00000358152;ENST00000395032,TM;TM;TM,22;21;14,4;3;2,19-23;34-52;26-26,49I.21M.19O.21M.11I.24M.23O.27M.19I;52O.10M.13I.20M.34O.14M.25I;2I.20M.26O.23M.20I,214;168;91,,,0.72
