gene_name,Gilead ID,Tier,Jeff V Score,Jeff G Score,Maggie Score,Max Score,Average Score,Needs Genotype Enrichment,Further Surface Investigation Needed,Notes,targetQ_v0,targetQ_v2,positive,surface_v0,surface_gpt,rank,transcript_id,gene_id,type,n_membrane,N_AA
XKRX,,,,3,,3.5,3.25,,,moderate lacrimal gland (lymphocyte) expression with Tx window; aveolar cells in human protein atlas; only major concern is it's lowly expressed,93.33333333,93.33333333,0.3140495868,0.786,0,99,ENST00000372956.2,ENSG00000182489.8,TM,12,449
LEMD1,,,,2.5,,3,2.75,,,this is a good target if it is surface expressed (unclear),81.9047619,81.9047619,0.2231404959,0.643,0,117,ENST00000367153.8,ENSG00000186007.9,TM,1,181
KISS1R,,,,2.5,,2,2.25,X,,low prevalence but very clean. We know this is a good target,82.85714286,84.76190476,0.09090909091,0.786,1,19,ENST00000234371.9,ENSG00000116014.9,TM,7,398
MUCL3,,,,2.5,,2,2.25,X,,high expression on stomach but other than that it's clean; lower prevalence,70.47619048,70.47619048,0.09090909091,0.643,1,49,ENST00000636043.1,ENSG00000168631.12,SP+TM,4,1460
MS4A15,,,,2,,2,2,,,moderate lung epithelial cell expression but potential Tx window,95.23809524,95.23809524,0.173553719,0.786,1,3,ENST00000405633.3,ENSG00000166961.14,TM,4,240
HLA-G,,,,2,,2,2,,,moderate colon enterocyte and lung epithelial cell expression but potential Tx window,94.28571429,94.28571429,0.09917355372,0.857,1,4,ENST00000376828.6,ENSG00000204632.11,SP+TM,1,343
CACNG6,,,,3,,1,2,X,,Barely below 5%; very clean target; with enrichment it could be a good target,93.33333333,93.33333333,0.04958677686,0.929,1,5,ENST00000252729.6,ENSG00000130433.7,TM,4,260
LRRN4,,,,2,,2,2,,X,"surface; good prevalence; moderate expression in thymus, kidney, lung with potential Tx window",86.66666667,86.66666667,0.1983471074,0.786,1,12,ENST00000378858.4,ENSG00000125872.7,SP+TM,1,740
CLDN9,,,,2.5,,1.5,2,,,"surface; moderate prevalence; expression on thymus, brain, eye - only concerning expression is pancreas ductal cells",82.85714286,84.76190476,0.1487603306,0.857,1,18,ENST00000445369.2,ENSG00000213937.3,TM,4,217
PLA2G10,,,,2,,1.5,1.75,,,"seems GPI; lots of healthy expression but low (small intestine, gallbladder, etc)",63.80952381,63.80952381,0.694214876,0,0,244,ENST00000438167.7,ENSG00000069764.9,SP,0,165
SMPDL3B,,,2,2.5,,0.5,1.666666667,,X,if it's surface this is a great target (could be GPI-anchored),89.52380952,89.52380952,0.8512396694,0.286,1,11,ENST00000373894.7,ENSG00000130768.14,SP,0,455
MUC21,,,,,,1.5,1.5,,,"this is a pretty good target, only concern is healthy expression on esophagus suprabasal cells",70.47619048,70.47619048,0.4545454545,0.714,1,48,ENST00000376296.3,ENSG00000204544.5,SP+TM,1,566
SLC1A7,,,,,,1.5,1.5,,,"All of the healthy expression is in eye and brain, pretty high prevalence",40,71.42857143,0.2066115702,0.857,1,60,ENST00000620347.5,ENSG00000162383.12,TM,8,619
PIP5KL1,,,,1.75,,1,1.375,,X,"good target (high prevalence, pretty clean), but unclear surface",81.9047619,81.9047619,0.2892561983,0.214,1,26,ENST00000388747.8,ENSG00000167103.11,GLOB,0,394
