gene_name,GPT_Surface,GPT_Secreted,GPT_Intracellular,HPA_Score,UNI_Neg_Score,GPI_Score,CSPA_Score,TMHMM_Score,UNI_Score,UNI_CellSurface,Tier,Custom_Edit
A2M,-95,80,-80,NA,3,0,3,0,-1,1,Tier1,0
AAMP,85,-90,-80,5,2,0,NA,0,0,0,Tier1,0
ABCA1,80,-90,-70,10,1,0,2,1,4,0,Tier1,0
ABCA12,80,-95,85,10,2,0,NA,1,2,0,Tier1,0
ABCA3,80,-95,70,0,2,0,NA,1,1,0,Tier1,0
ABCA4,70,-95,-70,0,2,0,NA,1,2,0,Tier1,0
ABCA7,75,-90,85,15,2,0,3,1,1,1,Tier1,0
ABCA8,75,-90,85,0,2,0,3,1,5,1,Tier1,0
ABCB1,90,-98,-85,10,2,0,3,1,4,1,Tier1,0
ABCB11,85,-95,80,10,1,0,NA,1,4,0,Tier1,0
ABCB4,90,-99,-85,15,2,0,NA,1,3,0,Tier1,0
ABCB5,90,-99,-80,NA,3,0,NA,1,5,0,Tier1,0
ABCB6,80,-95,90,5,2,0,NA,1,-2,0,Tier1,0
ABCC1,70,-85,80,15,3,0,3,1,5,1,Tier1,0
ABCC3,75,-95,90,10,3,0,NA,1,5,0,Tier1,0
ABCC4,80,-95,90,10,2,0,2,1,5,0,Tier1,0
ABCC5,-100,-100,100,10,2,0,2,1,0,0,Tier1,0
ABCC6,80,-95,90,10,2,0,NA,1,4,0,Tier1,0
ABCC9,-95,-99,90,10,1,0,NA,1,5,0,Tier1,0
ABCD3,100,-100,-100,0,1,0,NA,1,4,0,Tier1,0
ABCG2,80,-95,-85,10,2,0,NA,1,4,0,Tier1,0
ABCG4,80,-95,-70,NA,1,0,NA,1,2,0,Tier1,0
ABCG5,80,-95,-70,NA,3,0,NA,1,5,0,Tier1,0
ABHD3,-100,-100,100,10,2,0,NA,1,0,0,Tier1,0
ABI3BP,80,75,-85,NA,3,0,3,0,-1,1,Tier1,0
ACE,70,75,-85,-1,1,0,3,1,2,1,Tier1,0
ACE2,70,-80,-70,NA,2,0,NA,1,3,0,Tier1,0
ACHE,80,-90,-80,0,2,3,3,0,3,1,Tier1,0
ACKR1,90,-95,-80,NA,2,0,NA,1,0,0,Tier1,0
ACKR2,85,-90,-90,0,2,0,NA,1,0,0,Tier1,0
ACKR3,90,-95,-90,10,2,0,NA,1,4,0,Tier1,0
ACKR4,90,-95,-90,0,2,0,NA,1,4,0,Tier1,0
ACP2,0,0,0,NA,1,0,3,1,3,1,Tier1,0
ACP4,0,0,0,10,2,0,NA,1,0,0,Tier1,0
ACTN1,-90,-95,80,15,2,0,3,0,4,1,Tier1,0
ACTN2,80,-95,95,15,2,0,NA,0,-1,0,Tier1,0
ACVR1,100,-100,-100,NA,2,0,3,1,0,1,Tier1,0
ACVR1B,80,-95,-85,5,1,0,NA,1,5,0,Tier1,0
ACVR1C,100,-100,-100,NA,3,0,NA,1,0,0,Tier1,0
ACVR2A,100,-100,-100,0,2,0,3,1,5,1,Tier1,0
ACVR2B,100,-100,-100,NA,2,0,3,1,5,1,Tier1,0
ACVRL1,95,-95,-95,NA,2,0,NA,1,5,0,Tier1,0
ADAM10,100,-100,-100,10,2,0,3,1,0,1,Tier1,0
ADAM12,90,60,-75,9,2,0,3,1,-1,1,Tier1,0
ADAM15,90,-85,-80,0,2,0,3,1,-2,1,Tier1,0
ADAM17,0,0,0,0,2,0,3,1,5,1,Tier1,0
ADAM18,90,-90,-85,NA,3,0,NA,1,0,0,Tier1,0
ADAM19,100,-95,-95,0,2,0,3,1,0,1,Tier1,0
ADAM2,80,-80,-80,NA,3,0,NA,1,0,0,Tier1,0
ADAM20,90,-90,-90,NA,3,0,NA,1,0,0,Tier1,0
ADAM21,80,-90,-85,NA,3,0,NA,1,0,0,Tier1,0
ADAM22,100,-100,-100,10,3,0,3,1,4,1,Tier1,0
ADAM23,95,-100,-100,NA,3,0,NA,1,5,0,Tier1,0
ADAM28,90,-90,-90,9,2,0,NA,1,0,0,Tier1,0
ADAM30,80,-90,-70,0,2,0,NA,1,-1,0,Tier1,0
ADAM32,80,-90,-85,0,3,0,NA,1,0,0,Tier1,0
ADAM33,0,0,0,10,3,0,NA,1,0,0,Tier1,0
ADAM7,90,-95,-90,NA,3,0,NA,1,0,0,Tier1,0
ADAM8,90,-90,-90,NA,2,0,3,1,0,1,Tier1,0
ADAM9,0,0,0,-1,3,0,3,1,4,1,Tier1,0
ADAMTS15,-90,70,-70,-1,3,0,3,0,4,1,Tier1,0
ADAMTSL4,-80,-70,70,9,2,0,3,0,-1,1,Tier1,0
ADAP1,70,-95,80,10,2,0,NA,0,0,0,Tier1,0
ADCK5,-95,-95,90,10,2,0,NA,1,5,0,Tier1,0
ADCY2,0,0,0,5,3,0,NA,1,4,0,Tier1,0
ADCY3,80,-95,80,10,2,0,2,1,3,0,Tier1,0
ADCY4,75,-95,70,5,3,0,NA,1,4,0,Tier1,0
ADCY5,85,-95,-70,5,3,0,NA,1,5,0,Tier1,0
ADCY6,100,-100,-100,0,3,0,2,1,5,0,Tier1,0
ADCY7,0,0,0,10,3,0,2,1,0,0,Tier1,0
ADCY8,90,-100,-70,10,1,0,NA,1,0,0,Tier1,0
