gene_name,YES,NO,claude_summary
A2M,6,4,3
A3GALT2,2,8,1
A4GALT,6,4,3
AADAC,0,10,0
AADACL3,0,10,0
AADACL4,0,10,0
AAMP,0,10,0
AATK,1,9,1
ABCA1,9,0,5
ABCA10,10,0,5
ABCA12,7,3,3
ABCA13,7,3,3
ABCA2,1,8,1
ABCA3,1,9,1
ABCA4,1,9,1
ABCA5,4,6,2
ABCA6,8,2,4
ABCA7,8,2,4
ABCA8,7,3,3
ABCA9,5,5,3
ABCB1,8,2,4
ABCB10,0,10,0
ABCB11,5,5,3
ABCB4,7,3,3
ABCB5,10,0,5
ABCB6,5,5,3
ABCB7,0,10,0
ABCB8,0,10,0
ABCB9,0,10,0
ABCC1,8,2,4
ABCC10,4,5,2
ABCC11,9,1,4
ABCC12,8,2,4
ABCC2,10,0,5
ABCC3,10,0,5
ABCC4,10,0,5
ABCC5,10,0,5
ABCC6,8,2,4
ABCC8,8,2,4
ABCC9,8,2,4
ABCD1,0,10,0
ABCD2,0,10,0
ABCD3,0,10,0
ABCD4,0,10,0
ABCG1,10,0,5
ABCG2,10,0,5
ABCG4,6,4,3
ABCG5,6,4,3
ABCG8,7,3,3
ABHD1,0,10,0
ABHD12,0,9,0
ABHD13,1,9,1
ABHD14A,0,10,0
ABHD15,0,10,0
ABHD16A,0,10,0
ABHD2,0,10,0
ABHD3,0,10,0
ABI3BP,0,10,0
ABO,10,0,5
AC005551.1,0,10,0
AC008397.1,0,10,0
AC010325.1,0,10,0
AC087498.1,0,10,0
AC093512.2,0,10,0
AC135068.1,0,10,0
AC135068.3,0,10,0
ACBD4,0,10,0
ACE,10,0,5
ACE2,10,0,5
ACER1,0,10,0
ACER2,0,10,0
ACER3,7,2,4
ACHE,9,0,5
ACKR1,10,0,5
ACKR2,10,0,5
ACKR3,10,0,5
ACKR4,10,0,5
ACP2,0,10,0
ACP4,0,10,0
ACPP,9,1,4
ACSL1,0,10,0
ACSL5,0,10,0
ACSL6,0,10,0
ACTN1,0,9,0
ACTN2,0,10,0
ACTN4,0,1,0
ACVR1,9,0,5
ACVR1B,10,0,5
ACVR1C,10,0,5
ACVR2A,10,0,5
ACVR2B,10,0,5
ACVRL1,10,0,5
ADAM10,10,0,5
ADAM11,10,0,5
ADAM12,9,0,5
ADAM15,10,0,5
ADAM17,10,0,5
ADAM18,10,0,5
ADAM19,9,0,5
ADAM2,9,0,5
ADAM20,10,0,5
ADAM21,10,0,5
ADAM22,10,0,5
ADAM23,9,1,4
ADAM28,10,0,5
ADAM29,9,0,5
ADAM30,10,0,5
ADAM32,10,0,5
ADAM33,10,0,5
ADAM7,10,0,5
ADAM8,10,0,5
ADAM9,10,0,5
ADAMTS15,3,7,2
ADAMTS5,4,6,2
ADAMTSL2,0,10,0
ADAMTSL4,0,10,0
ADAP1,0,10,0
ADCK5,0,10,0
ADCY1,2,8,1
ADCY2,2,8,1
ADCY3,5,5,3
ADCY4,4,6,2
ADCY5,2,8,1
ADCY6,4,6,2
ADCY7,2,7,1
ADCY8,3,7,2
ADCY9,4,6,2
ADCYAP1,3,7,2
ADCYAP1R1,10,0,5
ADD3,0,10,0
ADGRA1,10,0,5
ADGRA2,10,0,5
ADGRA3,10,0,5
ADGRB1,10,0,5
ADGRB2,10,0,5
ADGRB3,10,0,5
ADGRD1,10,0,5
ADGRD2,10,0,5
ADGRE1,10,0,5
ADGRE2,10,0,5
ADGRE3,9,0,5
ADGRE5,10,0,5
ADGRF1,10,0,5
ADGRF2,10,0,5
ADGRF3,10,0,5
ADGRF4,10,0,5
ADGRF5,10,0,5
ADGRG1,10,0,5
ADGRG2,10,0,5
ADGRG3,10,0,5
ADGRG4,10,0,5
ADGRG5,10,0,5
ADGRG6,10,0,5
ADGRG7,10,0,5
ADGRL1,10,0,5
ADGRL2,10,0,5
ADGRL3,10,0,5
ADGRL4,10,0,5
ADGRV1,10,0,5
ADIG,1,9,1
ADIPOR1,10,0,5
ADIPOR2,7,3,3
ADM,9,1,4
ADORA1,10,0,5
ADORA2A,10,0,5
ADORA2B,10,0,5
ADORA3,10,0,5
ADPGK,0,10,0
ADRA1A,10,0,5
ADRA1B,10,0,5
ADRA1D,10,0,5
ADRA2A,10,0,5
ADRA2B,10,0,5
ADRA2C,10,0,5
ADRB1,10,0,5
ADRB2,10,0,5
ADRB3,10,0,5
ADTRP,1,9,1
AEBP1,1,9,1
AFAP1L2,0,10,0
AFG3L2,0,10,0
AGER,10,0,5
AGMO,0,10,0
AGPAT1,0,10,0
AGPAT2,0,10,0
AGPAT3,0,9,0
AGPAT4,0,10,0
AGPAT5,0,10,0
AGRN,10,0,5
AGT,1,9,1
AGTR1,10,0,5
AGTR2,9,1,4
AGTRAP,2,8,1
AHNAK2,0,10,0
AHSG,3,6,2
AIFM1,0,10,0
AIG1,0,10,0
AJAP1,4,6,2
AJM1,5,5,3
AKAP1,0,10,0
AKAP10,0,9,0
AKAP12,1,9,1
AKT1,0,10,0
AL034430.1,0,10,0
AL160269.1,0,10,0
AL845331.2,0,10,0
ALB,2,8,1
ALCAM,10,0,5
ALDH3A2,0,10,0
